attractor_id,time_step,CK0,CK,AHK,AHP,BARR,IPT,PIN,CKX,AARR,ERF,AHP6,TDIF,PXY,IAA0,IAA,BR,BZR1,STM,GA,GID1,ETHL,ARF,HB8,TMO5,WOX4,LOG3,DELL,WRKY,LHW,ENDO
attractor_25,t+2,1,0,0,0,0,0,0,1,0,0,1,0_,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
attractor_25,t+3,1,0,0,0,0,1,0,0,0,0,0,0_,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
attractor_25,t+4,1,1,0,0,0,1,0,0,0,0,0,0_,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
attractor_25,t+5,1,1,1,0,0,0,0,0,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
attractor_25,t+6,1,0,1,1,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
attractor_25,t+7,1,0,0,1,1,0,0,1,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
attractor_26,t,1,0,0,0,1,1,1,1,0,1,0,0_,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
attractor_26,t+1,1,0,0,0,0,1,1,1,0,1,0,0_,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0
attractor_26,t+2,1,0,0,0,0,0,0,1,0,0,1,0_,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
attractor_26,t+3,1,0,0,0,0,1,0,0,0,0,0,0_,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
attractor_26,t+4,1,1,0,0,0,1,0,0,0,0,0,0_,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
attractor_26,t+5,1,1,1,0,0,0,0,0,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
attractor_26,t+6,1,0,1,1,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
attractor_26,t+7,1,0,0,1,1,0,0,1,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
attractor_27,t,1,1,0,0,1,1,1,1,0,1,0,0_,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
attractor_27,t+1,1,0,1,0,0,1,1,1,0,1,0,0_,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
attractor_27,t+2,1,0,0,1,0,1,0,0,0,0,0,0_,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
attractor_27,t+3,1,1,0,0,1,1,0,0,0,0,0,0_,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
attractor_27,t+4,1,1,1,0,0,1,0,0,1,1,0,0_,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
attractor_27,t+5,1,1,1,1,0,0,0,0,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
attractor_27,t+6,1,0,1,1,1,0,0,1,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
attractor_27,t+7,1,0,0,1,1,1,1,1,0,1,0,0_,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
attractor_28,t,1,1,0,0,1,1,1,1,0,1,0,0_,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0
attractor_28,t+1,1,0,1,0,0,1,1,1,0,1,0,0_,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
attractor_28,t+2,1,0,0,1,0,1,0,0,0,0,0,0_,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
attractor_28,t+3,1,1,0,0,1,1,0,0,0,0,0,0_,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
attractor_28,t+4,1,1,1,0,0,1,0,0,1,1,0,0_,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
